Table,Column,Type,References,Constraints,Description
collaborations,created_at,timestamp,,DEFAULT NOW(),Creation timestamp
collaborations,updated_at,timestamp,,DEFAULT NOW(),Update timestamp

collab_applications,id,uuid,,PRIMARY KEY,Unique application identifier
collab_applications,collaboration_id,uuid,collaborations.id,NOT NULL CASCADE,Collaboration reference
collab_applications,applicant_id,uuid,users.id,NOT NULL CASCADE,Applicant user reference
collab_applications,status,text,,NOT NULL DEFAULT 'pending',Application status
collab_applications,message,text,,,Application message
collab_applications,created_at,timestamp,,DEFAULT NOW(),Creation timestamp
collab_applications,updated_at,timestamp,,DEFAULT NOW(),Update timestamp

collab_notifications,id,uuid,,PRIMARY KEY,Unique notification identifier
collab_notifications,user_id,uuid,users.id,NOT NULL CASCADE,User reference
collab_notifications,collaboration_id,uuid,collaborations.id,NOT NULL CASCADE,Collaboration reference
collab_notifications,application_id,uuid,collab_applications.id,CASCADE,Application reference (optional)
collab_notifications,type,text,,NOT NULL,Notification type
collab_notifications,content,text,,NOT NULL,Notification content
collab_notifications,is_read,boolean,,DEFAULT false,Whether notification is read
collab_notifications,is_sent,boolean,,DEFAULT false,Whether notification is sent
collab_notifications,created_at,timestamp,,DEFAULT NOW(),Creation timestamp
